0	1	1.99131	-0.439518	0.116408	
0.001	1	1.99131	-0.439762	0.11593	
0.002	1	1.99131	-0.440004	0.115453	
0.003	1	1.99131	-0.440247	0.114975	
0.004	1	1.99131	-0.440488	0.114497	
0.005	1	1.99131	-0.440729	0.114018	
0.006	1	1.99131	-0.44097	0.113539	
0.007	1	1.99131	-0.441209	0.11306	
0.008	1	1.99131	-0.441449	0.11258	
0.009	1	1.99131	-0.441687	0.112101	
0.01	1	1.99131	-0.441925	0.11162	
0.011	1	1.99131	-0.442162	0.11114	
0.012	1	1.99131	-0.442399	0.110659	
0.013	1	1.99131	-0.442635	0.110178	
0.014	1	1.99131	-0.44287	0.109697	
0.015	1	1.99131	-0.443105	0.109215	
0.016	1	1.99131	-0.443339	0.108733	
0.017	1	1.99131	-0.443573	0.10825	
0.018	1	1.99131	-0.443806	0.107768	
0.019	1	1.99131	-0.444038	0.107285	
0.02	1	1.99131	-0.44427	0.106801	
0.021	1	1.99131	-0.444501	0.106318	
0.022	1	1.99131	-0.444731	0.105834	
0.023	1	1.99131	-0.444961	0.105349	
0.024	1	1.99131	-0.44519	0.104865	
0.025	1	1.99131	-0.445419	0.10438	
0.026	1	1.99131	-0.445647	0.103895	
0.027	1	1.99131	-0.445874	0.103409	
0.028	1	1.99131	-0.446101	0.102923	
0.029	1	1.99131	-0.446327	0.102437	
0.03	1	1.99131	-0.446552	0.101951	
0.031	1	1.99131	-0.446777	0.101464	
0.032	1	1.99131	-0.447001	0.100977	
0.033	1	1.99131	-0.447225	0.100489	
0.034	1	1.99131	-0.447448	0.100002	
0.035	1	1.99131	-0.44767	0.0995138	
0.036	1	1.99131	-0.447892	0.0990256	
0.037	1	1.99131	-0.448113	0.098537	
0.038	1	1.99131	-0.448333	0.0980482	
0.039	1	1.99131	-0.448553	0.097559	
0.04	1	1.99131	-0.448772	0.0970696	
0.041	1	1.99131	-0.44899	0.0965798	
0.042	1	1.99131	-0.449208	0.0960898	
0.043	1	1.99131	-0.449425	0.0955994	
0.044	1	1.99131	-0.449642	0.0951088	
0.045	1	1.99131	-0.449858	0.0946179	
